,Source,Document,URL,Text,Date
0,Australia AUSTRAC,FATF updates on global ML/TF risk,,"The Financial Action Task Force (FATF), the global group that sets international anti-money laundering and counter-terrorism financing (AML/CTF) standards, has published two recent updates relating to international ML/TF risk.  The reports provide an update on jurisdictions which may pose a risk to the international financial system:  High-Risk Jurisdictions subject to a Call for Action – 23 October 2020 – noting that the 21 February 2020 call for action in relation to the Democratic People’s Republic of Korea and Iran remains in effect. Jurisdictions under Increased Monitoring – 23 October 2020 – jurisdictions that have strategic deficiencies in their AML/CTF regimes and are actively working with the FATF to address them.  Reporting entities should be aware of countries that pose a higher risk of money laundering or terrorism financing and use this information to help guide ML/TF risk assessments, compliance programs and decisions about submitting suspicious matter reports to AUSTRAC.  For further information, see AUSTRAC’s guidance on high-risk countries, regions and groups. ",5 January 2021
1,Australia AUSTRAC,AUSTRAC organisational chart,,"AUSTRAC’s organisational chart shows our structure as of March 2021.  AUSTRAC organisational chart (PDF, 123KB)   ",29 March 2021
2,Australia AUSTRAC,Review your AML/CTF compliance program with our latest guides,,"Throughout 2020 we saw a number of key areas where businesses could improve their anti-money laundering and counter-terrorism financing (AML/CTF) compliance.  To help you review and strengthen your AML/CTF program, systems and controls, we’ve developed five new regulatory guides.  These guides cover key areas of AML/CTF compliance identified through our regulatory activity during 2020. Using the guides will help you continue to meet your AML/CTF compliance obligations and protect your business.  Governance: board and senior management oversight  Boards and senior management must lead a positive, organisation-wide AML/CTF compliance culture in your business. Find out why it’s crucial for senior leadership to be involved in all activities that could impact AML/CTF compliance to ensure risks are understood, mitigated and managed.  Download the Governance: board and senior management oversight regulatory guide. (PDF, 167KB)  Money laundering/terrorism financing risk assessments  Regular reviews of your ML/TF risk assessment are essential to complying with your AML/CTF obligations. This quick guide underlines the need to respond promptly to the latest advice about new and emerging risks and to review your business’ risk assessments on an ongoing basis to ensure your systems and controls remain appropriate.  Download the Money laundering/terrorism financing risk assessments regulatory guide. (PDF, 169KB)  Ongoing customer due diligence  Ongoing customer due diligence helps to protect your business and the community from serious and organised crime. Understand how your transaction monitoring program must operate to help you identify suspicious activity, and to support enhanced customer due diligence.  Download the Ongoing customer due diligence regulatory guide. (PDF, 169KB)  International Funds Transfer Instructions (IFTIs) reporting  IFTI reporting continues to be a key area of vulnerability for businesses. This quick guide highlights the importance of ensuring your IFTI reports are complete, accurate and timely, and that systems are in place to ensure reporting is not interrupted if there are changes to your systems or processes.  Download the International Funds Transfer Instructions (IFTIs) reporting regulatory guide. (PDF, 122KB)  Correspondent banking relationships  A lack of due diligence on correspondent banks can expose your business and result in breaches of your obligations. Find out more about how to manage the risks involved with correspondent banking relationship.  Download the Correspondent banking relationships regulatory guide. (PDF, 110KB) ",29 March 2021
3,Australia AUSTRAC,Ongoing customer due diligence,, ,30 March 2021
4,Australia AUSTRAC,International Funds Transfer Instructions (IFTIs) reporting,, ,30 March 2021
5,Australia AUSTRAC,Correspondent banking relationships,, ,30 March 2021
6,Australia AUSTRAC,Governance: board and senior management oversight,, ,30 March 2021
7,Australia AUSTRAC,AUSTRAC's approach to regulation,, ,7 April 2021
8,Australia AUSTRAC,Financial Action Task Force public consultations,,"The Financial Action Task Force (FATF) is inviting feedback on draft guidance about proliferation financing risk, and on digital currencies and digital currency exchange providers, known internationally as virtual assets and virtual asset service providers.  FATF is the global standard-setting body for anti-money laundering and counter terrorism-financing (AML/CTF). Guidance and recommendations issued by FATF are not legally binding in Australia, but these international standards strongly influence the development of AML/CTF legislation around the world.  You can find more details and links to each document and consultation below.  Public consultation on a risk-based approach to digital currencies and digital currency exchange providers  FATF is currently consulting on updates to draft guidance for a risk-based approach to digital currency and digital currency exchange providers, known internationally as virtual assets and virtual asset service providers.  The updated guidance focuses on six main areas which includes guidance on how the FATF Standards apply to so-called stablecoins, additional guidance on the risks and potential ways to mitigate the risks of peer-to-peer transactions and on the implementation of the ‘travel rule’.  The public consultation closes on 20 April 2021.  For more information about the consultation or to provide a written response, visit the FATF website.  Public consultation on mitigating proliferation financing risk  FATF has also been consulting on draft guidance to help the public and private sectors to identify, assess, understand and mitigate proliferation financing risk, as recommended in newly revised FATF standards.  The guidance seeks to assist the public and private sectors in conducting a risk assessment in the context of proliferation financing, and applying corresponding risk mitigation measures.  The public consultation will soon close on 9 April 2021.  For more information, visit the FATF website.  ",6 April 2021
9,Australia AUSTRAC,Rule extended to support COVID-19 early release of superannuation initiative,,"AUSTRAC has extended the Rule for streamlined customer verification under the COVID-19 early release of superannuation initiative until 31 December 2020.  This extension supports the Government’s decision to allow the COVID-19 early release of superannuation initiative to continue until 31 December 2020.  Customer verification obligations under the Rule  In March this year, AUSTRAC introduced a Rule under the Anti-Money Laundering and Counter-Terrorism Financing Act 2006 (AML/CTF Act) to facilitate streamlined payments by superannuation funds to their members under the COVID-19 early release of superannuation initiative.  Under the Rule, where the payment under this initiative is approved by the ATO, superannuation funds do not have to conduct upfront customer verification for AML/CTF purposes.  Other obligations under the AML/CTF Act still apply, including ongoing customer due diligence and suspicious matter reporting.  Learn more about the Rule and your obligations  If you need assistance  If you are an individual affected by COVID-19 enquiring about early access to your superannuation, please contact the ATO directly. ­  If you are an AUSTRAC reporting entity and have questions about your customer due diligence obligations, please contact us using the online form. ",7 April 2021
